1.837252930909326620e+00,1.786505382534842701e+00,1.741719565446192997e+00,1.699879971248016375e+00,1.667354234603681373e+00,1.624886155326037862e+00,1.548053975482013289e+00,1.433531742745228765e+00,1.214408458763491572e+00,1.019576285136918559e+00,8.036381497368877413e-01,6.434128711683282376e-01,4.964101344750150302e-01,3.945519784606185687e-01,3.125142085558995642e-01
1.837177011464924625e+00,1.786453625259824207e+00,1.741592902168775270e+00,1.699789784967747908e+00,1.667039411118841130e+00,1.624471968160638768e+00,1.547691099278099447e+00,1.433210688639322328e+00,1.214055338612293422e+00,1.019272802704050962e+00,8.033157818408819262e-01,6.431808043785347540e-01,4.962510217203492391e-01,3.943051246745339355e-01,3.121980090499454907e-01
1.837100232554594426e+00,1.786399229268739619e+00,1.741464519915053133e+00,1.699696949755516995e+00,1.666726438426122225e+00,1.624060781111462015e+00,1.547330184573250333e+00,1.432890690820032065e+00,1.213702830935664112e+00,1.018968262793013002e+00,8.029923616613364734e-01,6.429472485308689311e-01,4.960891744272979409e-01,3.940565248546082922e-01,3.118810080065799184e-01
1.837022589742995482e+00,1.786342203427780717e+00,1.741334419965520963e+00,1.699601472568181837e+00,1.666415285209855712e+00,1.623652555219453619e+00,1.546971198052882857e+00,1.432571721991180214e+00,1.213350914224124777e+00,1.018662658877776517e+00,8.026678841707327594e-01,6.427121980275873891e-01,4.959245988097288893e-01,3.938061834198151034e-01,3.115632078647396774e-01
1.836944078594788143e+00,1.786282556603138616e+00,1.741202603600674914e+00,1.699503360362595750e+00,1.666105920154373754e+00,1.623247251525560486e+00,1.546614106402410815e+00,1.432253754856588790e+00,1.212999566968197218e+00,1.018355984432312233e+00,8.023423443415520495e-01,6.424756472709463040e-01,4.957573010815099490e-01,3.935541047891277788e-01,3.112446110633609320e-01
1.836864694674630094e+00,1.786220297661005985e+00,1.741069072101010251e+00,1.699402620095614935e+00,1.665798311944006960e+00,1.622844831070729299e+00,1.546258876307250452e+00,1.431936762120079587e+00,1.212648767658402349e+00,1.018048232930592656e+00,8.020157371462753870e-01,6.422375906632022957e-01,4.955872874565082076e-01,3.933002933815202273e-01,3.109252200413799017e-01
1.836784433547181905e+00,1.786155435467574826e+00,1.740933826747021795e+00,1.699299258724096040e+00,1.665492429263087493e+00,1.622445254895906519e+00,1.545905474452816453e+00,1.431620716485473732e+00,1.212298494785262859e+00,1.017739397846589400e+00,8.016880575573844814e-01,6.419980226066122064e-01,4.954145641485919183e-01,3.930447536159661914e-01,3.106050372377335278e-01
1.836703290777101261e+00,1.786087978889036698e+00,1.740796868819205923e+00,1.699193283204894600e+00,1.665188240795946850e+00,1.622048484042039940e+00,1.545553867524524838e+00,1.431305590656593019e+00,1.211948726839299662e+00,1.017429472654273859e+00,8.013593005473603759e-01,6.417569375034321011e-01,4.952391373716283351e-01,3.927874899114391916e-01,3.102840650913579190e-01
1.836621261929049176e+00,1.786017936791583827e+00,1.740658199598057232e+00,1.699084700494865041e+00,1.664885715226917196e+00,1.621654479550075578e+00,1.545204022207790961e+00,1.430991357337260128e+00,1.211599442311035446e+00,1.017118450827617426e+00,8.010294610886845579e-01,6.415143297559191549e-01,4.950610133394853785e-01,3.925285066869129702e-01,3.099623060411899056e-01
1.836538342567684001e+00,1.785945318041409324e+00,1.740517820364071655e+00,1.698973517550863566e+00,1.664584821240329582e+00,1.621263202460961228e+00,1.544855905188029288e+00,1.430677989231295744e+00,1.211250619690990460e+00,1.016806325840592606e+00,8.006985341538378487e-01,6.412701937663293217e-01,4.948801982660306908e-01,3.922678083613611033e-01,3.096397625261655961e-01
